Position: ('4.317424495199752', '-0.37101826403082144', '0.8818266822880501')
Velocity: ('-0.10632219846377007', '0.016468549087507972', '0.0')
Position: ('4.329889719457322', '-0.3962710589186723', '0.8634271839204295')
Velocity: ('-0.05571400393989798', '-0.0841450855467054', '0.0')
Position: ('4.2631820063823715', '-0.37898562598566005', '0.9036243148859752')
Velocity: ('-0.19705230526705672', '-0.0015851089990288475', '0.0')
Position: ('4.259079530877695', '-0.37676441977204617', '0.8902524193290758')
Velocity: ('-0.17631408787370118', '0.009233476909689283', '0.0')
Position: ('4.2396191436245765', '-0.3726803550536123', '0.8995464189190859')
Velocity: ('-0.19276216951637354', '0.022063281241141746', '0.0')
Position: ('4.1775321160225545', '-0.37426302447972626', '0.9150663240133788')
Velocity: ('-0.30112619262820844', '0.00210933213299945', '0.0')
Position: ('4.173695538691892', '-0.3689127311656144', '0.9708382260767686')
Velocity: ('-0.2642955173743252', '0.025260418441518134', '0.0')
Position: ('4.142391414156213', '-0.37203252297957834', '0.9731814432884643')
Velocity: ('-0.29386101634595124', '0.004102446024980333', '0.0')
Position: ('4.127079139157424', '-0.3714819758822099', '0.9850266627536873')
Velocity: ('-0.2845893177579722', '0.00587676402082981', '0.0')
Position: ('4.109495454676261', '-0.37413434658862615', '0.9879501370369165')
Velocity: ('-0.2819938111965642', '-0.005921680628783024', '0.0')
Position: ('4.073508602598423', '-0.3783378222896317', '0.982461977863585')
Velocity: ('-0.31751340018174457', '-0.02383730120479817', '0.0')
Position: ('4.053293892423593', '-0.3919369051325402', '0.9634055262428908')
Velocity: ('-0.31764254417030047', '-0.07133584901028911', '0.0')
Position: ('4.024203085153315', '-0.40185413688425314', '0.9752135062100787')
Velocity: ('-0.3340999890185773', '-0.0931625204953773', '0.0')
Position: ('4.030505615893873', '-0.4192085073621325', '0.9745622275648735')
Velocity: ('-0.279013244692577', '-0.1326759242992859', '0.0')
Position: ('4.020955957392366', '-0.43248038414405815', '0.9808569025351976')
Velocity: ('-0.2615176249596369', '-0.1485585538722395', '0.0')
Position: ('4.013329930509921', '-0.4420904894702097', '0.9749941693041413')
Velocity: ('-0.24172606583193973', '-0.14526591627562643', '0.0')
Position: ('3.995549121099845', '-0.454295056763948', '0.9830984135849838')
Velocity: ('-0.24518024162716626', '-0.1553073462186173', '0.0')
Position: ('3.9846682293086046', '-0.46488899056294336', '0.9847355745665719')
Velocity: ('-0.23415744167591088', '-0.154972762858266', '0.0')
Position: ('3.976612727785636', '-0.4767755394733951', '0.9818636818478764')
Velocity: ('-0.2192450649680684', '-0.1593696190994817', '0.0')
Position: ('3.9644661014111833', '-0.48351241259615907', '0.9756914595244782')
Velocity: ('-0.2132225878069836', '-0.1429110201780912', '0.0')
Position: ('3.94915426717792', '-0.48478411973313784', '0.9631093021817221')
