Position: ('4.704546906950739', '-1.747579709381191', '0.604593325328508')
Velocity: ('0.0', '0.0', '0.0')
Position: ('4.692965969630096', '-1.7396797731396796', '0.6083810943850635')
Velocity: ('-0.017108514395850496', '0.029217358980258144', '0.0')
Position: ('4.684318244075979', '-1.7284963318449607', '0.6061717361568364')
Velocity: ('-0.03410384127040732', '0.05798928530705177', '0.0')
Position: ('4.6365630195498', '-1.710184525200349', '0.6127222783402181')
Velocity: ('-0.15655246311412307', '0.08204938530513237', '0.0')
Position: ('4.63513798266351', '-1.7098461866535102', '0.6117993490484993')
Velocity: ('-0.0995168895107723', '0.045740540466578196', '0.0')
Position: ('4.621800791329332', '-1.7037160680080172', '0.6117993490484993')
Velocity: ('-0.0995168895107723', '0.045740540466578196', '0.0')
Position: ('4.676122399846545', '-1.7241159259836645', '0.6091775336408347')
Velocity: ('0.0235463796923033', '-0.0038474871385988634', '0.0')
Position: ('4.708060399866025', '-1.7412903812572684', '0.6031041693826844')
Velocity: ('0.07038386327712597', '-0.0417157072104493', '0.0')
Position: ('4.696657579772686', '-1.7280051731270478', '0.5957614574463311')
Velocity: ('0.036003654937292504', '0.01437232170210215', '0.0')
Position: ('4.666306454981678', '-1.7125002374545177', '0.5931026210659813')
Velocity: ('-0.028749932781239395', '0.03991758149494793', '0.0')
Position: ('4.677716744734612', '-1.725057949147623', '0.6073326503437118')
Velocity: ('-0.006585120134986411', '-0.014075676434348722', '0.0')
Position: ('4.6415994583933955', '-1.7078001068503648', '0.6018250243333346')
Velocity: ('-0.07096635484446198', '0.03232366226683008', '0.0')
Position: ('4.627988983647774', '-1.7002916436340036', '0.60908650180147')
Velocity: ('-0.07298834488465504', '0.03852273421725105', '0.0')
Position: ('4.610168993093505', '-1.693536935471777', '0.603015720363333')
Velocity: ('-0.08972944338699018', '0.03939026599417012', '0.0')
Position: ('4.629824664183678', '-1.7128613589846349', '0.6157172684030242')
Velocity: ('-0.03556853463314674', '-0.029007661936248652', '0.0')
