Position: ('4.272099751011218', '-0.6554554441572356', '0.8886060939702339')
Velocity: ('-0.0537000531776606', '-0.16616036484287203', '0.0')
Position: ('4.242217511238451', '-0.6511316559219863', '0.8976287380740274')
Velocity: ('-0.1085379665400733', '-0.11605790540337024', '0.0')
Position: ('4.2297455145488785', '-0.6474138498448347', '0.89078163315648')
Velocity: ('-0.11830232664421157', '-0.07130983807197203', '0.0')
Position: ('4.196720127956333', '-0.6444869511581176', '0.9468540614690051')
Velocity: ('-0.1730780441908024', '-0.04645587628414591', '0.0')
Position: ('4.217424561972788', '-0.642800655926426', '0.8884464616325115')
Velocity: ('-0.08633629094396507', '-0.010218729512248568', '0.0')
Position: ('4.2374046133889', '-0.6385418687708865', '0.9085999482167272')
Velocity: ('-0.020320158253487663', '0.018261106888839862', '0.0')
Position: ('4.444305296770978', '-0.6432055062403196', '0.8647158024224934')
Velocity: ('0.42784785403154585', '0.04890481674102079', '0.0')
Position: ('4.516650342163038', '-0.6430302970245309', '0.851131406051261')
Velocity: ('0.48766019258141613', '0.03860218156395365', '0.0')
Position: ('4.632481882094391', '-0.6492641679043307', '0.8642747980669853')
Velocity: ('0.6223349690020319', '0.017835540618306778', '0.0')
Position: ('4.578409800525627', '-0.6532855357016528', '0.8783614616054163')
Velocity: ('0.38599285490671964', '-0.03385391680924342', '0.0')
Position: ('4.685273874319185', '-0.6531102447032497', '0.855110689227923')
Velocity: ('0.5225065428666296', '-0.0036755072615498735', '0.0')
Position: ('4.782970294288992', '-0.6604063522268141', '0.8386748626875222')
Velocity: ('0.6106740997162289', '-0.01812371693353873', '0.0')
Position: ('4.731468972833285', '-0.6637218238723881', '0.8215405587260377')
Velocity: ('0.3840245448327206', '-0.05109632068507039', '0.0')
Position: ('4.80719949024412', '-0.6730116654628222', '0.8523958015324524')
Velocity: ('0.45780843639021146', '-0.05751888003447515', '0.0')
Position: ('4.826892522217844', '-0.6716003829450369', '0.8453472358305396')
Velocity: ('0.40663320474093184', '-0.037499777214141036', '0.0')
Position: ('4.75106496624403', '-0.6476699804170842', '0.8175955627953154')
Velocity: ('0.17871360650508', '0.035708974422924235', '0.0')
Position: ('4.628722901983364', '-0.6107030711425322', '0.7753261662156957')
Velocity: ('-0.0957175437684181', '0.12386132473932479', '0.0')
Position: ('4.604923060647433', '-0.5776424556720603', '0.7960899530375889')
Velocity: ('-0.1188989068297898', '0.19554721678814746', '0.0')
Position: ('4.523080590390752', '-0.5378551634329587', '0.7531467339427718')
Velocity: ('-0.25561211608317785', '0.2534914798265604', '0.0')
Position: ('4.465844160258505', '-0.5130846372425221', '0.8257376991181269')
Velocity: ('-0.3172510833410291', '0.24343546658567988', '0.0')
Position: ('4.448169380853797', '-0.49483717347012196', '0.8428733437230435')
Velocity: ('-0.2895533237020221', '0.22314687961971486', '0.0')
Position: ('4.454391406256911', '-0.45919597254722355', '0.8176384387211838')
Velocity: ('-0.21714052411851706', '0.2806879900591989', '0.0')
Position: ('4.462177608330831', '-0.42430738454647965', '0.7838859971845904')
Velocity: ('-0.15754276824397362', '0.31206194924121955', '0.0')
Position: ('4.48194502509448', '-0.4085280903756647', '0.7671513141289917')
Velocity: ('-0.08947586780322944', '0.2599668057777368', '0.0')
Position: ('4.432821468647073', '-0.38941709772151256', '0.801371036502662')
Velocity: ('-0.16968948642514797', '0.2261368131289306', '0.0')
Position: ('4.478385445006175', '-0.3616984774037572', '0.7506138087556536')
Velocity: ('-0.0454882558128459', '0.25539662578635114', '0.0')
Position: ('4.423860714353453', '-0.325964877160506', '0.7421256108363941')
Velocity: ('-0.14389403432047873', '0.28542044602228794', '0.0')
Position: ('4.2766544334941985', '-0.2912553932194003', '0.7217530943421396')
Velocity: ('-0.40818063170237934', '0.28925564876798954', '0.0')
Position: ('4.136985097435287', '-0.2557813099401616', '0.755379908574642')
Velocity: ('-0.6030526277828592', '0.30031618928077225', '0.0')
Position: ('4.096504996818521', '-0.23562248963350876', '0.755379908574642')
Velocity: ('-0.6030526277828592', '0.30031618928077225', '0.0')
Position: ('4.0358692437116845', '-0.20542628872453605', '0.755379908574642')
Velocity: ('-0.6030526277828592', '0.30031618928077225', '0.0')
Position: ('3.9676690453359944', '-0.174003228644326', '0.6871196332194159')
Velocity: ('-0.617796209018894', '0.30359011837470506', '0.0')
Position: ('3.956294158918375', '-0.16267011397404157', '0.7410390418782277')
Velocity: ('-0.5286007201559679', '0.242988861020762', '0.0')
Position: ('4.023594862802263', '-0.15069855455393025', '0.6021403421331347')
Velocity: ('-0.3498701309410289', '0.2351389139939418', '0.0')
Position: ('3.91838795691517', '-0.14222897500304094', '0.7416325149138089')
Velocity: ('-0.4747450144627483', '0.16673062119465765', '0.0')
Position: ('3.7735038273033163', '-0.1486978035634403', '0.8002215263623955')
Velocity: ('-0.6582620973980421', '0.0649949877102907', '0.0')
Position: ('3.7148245651486946', '-0.14819993940921106', '0.8367093006392181')
Velocity: ('-0.6855584752139369', '0.048116557868918663', '0.0')
Position: ('3.7726081616433547', '-0.13090357349017262', '0.630003434668525')
Velocity: ('-0.43937895165586605', '0.10777857845535058', '0.0')
Position: ('3.7284294740702713', '-0.12006664985806532', '0.630003434668525')
Velocity: ('-0.43937895165586605', '0.10777857845535058', '0.0')
Position: ('3.6695096121240387', '-0.10561375233209425', '0.630003434668525')
Velocity: ('-0.43937895165586605', '0.10777857845535058', '0.0')
Position: ('3.3448191565612735', '-0.06968517815420472', '0.6371651845683854')
Velocity: ('-0.857030268016162', '0.14543168857703032', '0.0')
Position: ('3.1623276189170104', '-0.048581471188935604', '0.6218441527134175')
Velocity: ('-0.9207018765710259', '0.12886566812693512', '0.0')
Position: ('2.917549292597041', '-0.061396243430682895', '0.6426367445554746')
Velocity: ('-1.0901827375385567', '-0.019939456586115706', '0.0')
Position: ('2.620884896301189', '-0.08424253661652109', '0.7345159943126982')
Velocity: ('-1.2317154984194172', '-0.09986792539458852', '0.0')
Position: ('2.4263439485899774', '-0.08419800272196692', '0.7902850374847183')
Velocity: ('-1.2855204279011185', '-0.03837826684612097', '0.0')
Position: ('2.3150640687172492', '-0.06784372317464177', '0.7596119985816031')
Velocity: ('-0.9012302588257658', '0.08568142154938842', '0.0')
Position: ('2.3604983572667013', '-0.08056168396819041', '0.7915673621693918')
Velocity: ('-0.44317557880771935', '-0.04244038525705522', '0.0')
Position: ('2.3476066204162307', '-0.0756956708552694', '0.8014783972244568')
Velocity: ('-0.3487328838066554', '0.012871971761988114', '0.0')
Position: ('2.2171145559652556', '-0.16138945377076208', '0.8183413662723984')
Velocity: ('-0.4707984303216679', '-0.40645333462801153', '0.0')
Position: ('2.0544624045799416', '-0.27884023673090613', '0.8574107686318196')
Velocity: ('-0.6351711431694045', '-0.6463653479414301', '0.0')
Position: ('1.9611458002047808', '-0.36553031393386004', '0.8589343592253547')
Velocity: ('-0.5489938410800191', '-0.43363871410093147', '0.0')
Position: ('1.9676706257111825', '-0.36819651631014194', '0.9033786141330153')
Velocity: ('-0.31614681592487354', '-0.10626695953611671', '0.0')
Position: ('1.9086448919032488', '-0.2969858656404702', '0.9299558603323321')
Velocity: ('-0.24891563255171145', '0.3420683486318189', '0.0')
Position: ('1.8496042492809952', '-0.22616393611159685', '0.9440458034823495')
Velocity: ('-0.2869199073498355', '0.4574003037945157', '0.0')
Position: ('1.7925303433025812', '-0.1351781896906058', '0.9440458034823495')
Velocity: ('-0.2869199073498355', '0.4574003037945157', '0.0')
Position: ('1.9142838962961726', '-0.2913079278505052', '0.9376960422288412')
Velocity: ('-0.0010578196276155583', '-0.27354265853755577', '0.0')
Position: ('1.9367648180423513', '-0.2569592506447024', '0.8521971307466679')
Velocity: ('0.007447941923853403', '0.1679629739447456', '0.0')
Position: ('1.84999434730687', '-0.22220148870936307', '0.8527008267377252')
Velocity: ('-0.18079624720100604', '0.11232201800494263', '0.0')
Position: ('1.8200477101766874', '-0.20359675123832383', '0.8527008267377252')
Velocity: ('-0.18079624720100604', '0.11232201800494263', '0.0')
Position: ('1.7759893282042825', '-0.22914912168126378', '0.8958435170109637')
Velocity: ('-0.20509095733494184', '-0.037551577474055256', '0.0')
Position: ('1.74158143261225', '-0.23544911059268725', '0.8958435170109637')
Velocity: ('-0.20509095733494184', '-0.037551577474055256', '0.0')
Position: ('1.713802374758444', '-0.24053537795770802', '0.8958435170109637')
Velocity: ('-0.20509095733494184', '-0.037551577474055256', '0.0')
Position: ('1.7349470439406525', '-0.2240937719316956', '0.9007745615598377')
Velocity: ('-0.13119462699417156', '0.02470048732989606', '0.0')
Position: ('1.817185773687216', '-0.27594882105239454', '0.8789167197625297')
Velocity: ('-0.012089644014060201', '-0.2495385361438906', '0.0')
Position: ('1.8960163938005201', '-0.2649491986518491', '0.93404387541467')
Velocity: ('0.1516028812409332', '-0.003714055141271124', '0.0')
Position: ('1.911179016912191', '-0.26532066136985366', '0.93404387541467')
Velocity: ('0.1516028812409332', '-0.003714055141271124', '0.0')
Position: ('1.9263906887104398', '-0.26569332571097404', '0.93404387541467')
Velocity: ('0.1516028812409332', '-0.003714055141271124', '0.0')
Position: ('1.9416085412065551', '-0.2660661414704089', '0.93404387541467')
Velocity: ('0.1516028812409332', '-0.003714055141271124', '0.0')
Position: ('2.039036513482174', '-0.33652726955731804', '0.9384729225910714')
Velocity: ('0.2806271747205699', '-0.19499492691581677', '0.0')
Position: ('2.085936302668687', '-0.35167710698164556', '0.9297949487906143')
Velocity: ('0.3123940082351975', '-0.16662097228574863', '0.0')
Position: ('2.1173468301183718', '-0.3684304776792501', '0.9297949487906143')
Velocity: ('0.3123940082351975', '-0.16662097228574863', '0.0')
Position: ('1.966613395869829', '-0.2777873852583728', '0.8408616410439977')
Velocity: ('0.03716978769584521', '0.22879061758025104', '0.0')
Position: ('1.8914067647060082', '-0.25048938099168594', '0.8488873754825951')
Velocity: ('-0.10193497706697206', '0.21471577080912763', '0.0')
Position: ('1.8811574036757643', '-0.22890013344161325', '0.8488873754825951')
Velocity: ('-0.10193497706697206', '0.21471577080912763', '0.0')
Position: ('1.8180474408913416', '-0.22991596621490534', '0.8593670125278233')
Velocity: ('-0.20149621257179715', '0.10353970867701662', '0.0')
Position: ('1.804540726822104', '-0.22297548221243696', '0.8593670125278233')
Velocity: ('-0.20149621257179715', '0.10353970867701662', '0.0')
Position: ('1.789020738341954', '-0.22601972316230767', '0.8632517520242818')
Velocity: ('-0.20588206175192147', '0.05733114941753818', '0.0')
Position: ('1.7694673473465627', '-0.22734076611258242', '0.8767754120205111')
Velocity: ('-0.20438491808786746', '0.020269102115982804', '0.0')
Position: ('1.7750704441693634', '-0.23851822319225874', '0.8761591457132821')
Velocity: ('-0.1598194019058402', '-0.04572506871057911', '0.0')
Position: ('1.7749657349172248', '-0.23609581556749742', '0.8699315912740565')
Velocity: ('-0.1377143758483568', '-0.009609505298864479', '0.0')
Position: ('1.7665316978599463', '-0.2467898705324129', '0.8822348404024427')
Velocity: ('-0.13068263005616443', '-0.06368249263618016', '0.0')
Position: ('1.7928390323306274', '-0.2622566933475342', '0.8693752290584634')
Velocity: ('-0.05544015770167411', '-0.10037871349366881', '0.0')
Position: ('1.815027511457048', '-0.2600862222681581', '0.8689979439175431')
Velocity: ('0.0016432604333427997', '-0.038593218686396466', '0.0')
Position: ('1.8641582945946262', '-0.28280963320409797', '0.944898918482155')
